year,day,racenumber,racename,raceknownas,grade,winner,trainer,jockey,odds,favourite,winningdistance,time,age,weight,runners,going,racedistance,,
2016,2,4,Betway Queen Mother Champion Chase,Queen Mother Champion Chase,1,Sprinter Sacre,Nicky Henderson,Nico De Boinville,5/1,No,3.5,03:49.1,8,11-10,10,Good(Good to Soft in Places),1m7f199y,,
2016,2,5,Glenfarclas Chase (Cross Country Chase),Cross Country Chase,-,Josies Orders,Enda Bolger,Nina Carberry,15/8,Yes,1.25,13:30.8,8,11-4,16,Good(Good to Soft in Places),3m6f37y,,
2016,2,6,Fred Winter Juvenile Handicap Hurdle,Fred Winter Juvenile Handicap Hurdle,3,Diego Du Charmil,Paul Nicholls,Sam Twiston-Davies,13/2,No,0.1,03:49.4,4,11-1,22,Good(Good to Soft in Places),2m0f87y,,
2016,2,7,Weatherbys Champion Bumper,Champion Bumper,1,Ballyandy,Nigel Twiston-Davies,Sam Twiston-Davies,5/1,No,0.025,03:48.2,5,11-5,23,Good(Good to Soft in Places),2m0f87y,,
2016,3,1,JLT Novices' Chase,JLT Novices' Chase,1,Black Hercules,Willie Mullins,Ruby Walsh,4/1,Yes,3,04:55.0,7,11-4,9,Good(Good to Soft in Places),2m3f198y,,
2016,3,2,Pertemps Network Final Handicap Hurdle,Pertemps Network Final Handicap Hurdle,Listed,Mall Dini,Patrick Kelly,Davy Russell,14/1,No,0.75,05:49.1,6,10-11,24,Good(Good to Soft in Places),2m7f213y,,
2016,3,3,Ryanair Chase,Ryanair Chase,1,Vautour,Willie Mullins,Ruby Walsh,1/1,Yes,6,05:05.3,7,11-10,15,Good(Good to Soft in Places),2m4f166y,,
2016,3,4,Ryanair World Hurdle,Stayer Hurdle,1,Thistlecrack,Colin Tizzard,Tom Scudamore,1/1,Yes,7,05:42.6,8,11-10,12,Good(Good to Soft in Places),2m7f213y,,
2016,3,5,Brown Advisory & Merriebelle Stable Plate Handicap Chase,Brown Advisory Plate Handicap Chase,3,Empire Of Dirt,Colm Murphy,Bryan Cooper,16/1,No,4,05:13.1,9,10-11,22,Good(Good to Soft in Places),2m4f166y,,
2016,3,6,Trull House Stud Mares' Novice Hurdle(Dawn Run),Mares' Novice Hurdle,2,Limini,Willie Mullins,Ruby Walsh,8/11,Yes,4.5,03:57.8,5,11-7,16,Good(Good to Soft in Places),2m0f179y,,
2016,3,7,Fulke Walwyn Kim Muir Challenge Cup Amateur Riders Handicap Chase,Kim Muir Handicap Chase,-,Cause of Causes,Gordon Elliot,JJ Codd,9/2,No,12,06:43.4,8,11-9,22,Good(Good to Soft in Places),3m2f0y,,
2016,4,1,JCB Triumph Hurdle,Triumph Hurdle,1,Ivanovich Gorbatov,A P O'Brien,Barry Geraghty,9/2,Yes,1.25,03:55.1,4,11-0,15,Good,2m0f179y,,
2016,4,2,Vincent O'Brien County Handicap Hurdle,County Handicap Hurdle,3,Superb Story,Dan Skelton,Harry Skelton,8/1,No,2.5,03:55.5,5,10-12,26,Good,2m0f179y,,
2016,4,3,Albert Bartlett Novices' Hurdle,Albert Bartlett Novices' Hurdle,1,Unowhatimeanharry,Harry Fry,Noel Fehily,11/1,No,1.25,05:48.1,8,11-5,19,Good,2m7f213y,,
2016,4,4,Timico Cheltenham Gold Cup,Cheltenham Gold Cup,1,Don Cossack,Gordon Elliot,Bryan Cooper,9/4,Yes,4.5,06:34.8,9,11-10,9,Good,3m2f70y,,
2016,4,5,St Jame's Place Foxhunter Challenge Cup,Foxhunter Chase,-,On The Fringe,Enda Bolger,Nina Carberry,13/8,Yes,0.2,06:53.7,11,12-0,24,Good,3m2f70y,,
2016,4,6,Martin Pipe Conditional Jockeys' Handicap Hurdle,Martin Pipe Handicap Hurdle,-,Ibis Du Rheu,Paul Nicholls,Jack Sherwood,14/1,No,1.25,04:52.0,5,11-7,24,Good,2m4f56y,,
2016,4,7,Johnny Henderson Grand Annual Chase Challenge Cup,Grand Annual Handicap Hurdle,3,Solar Impulse,Paul Nicholls,Sam Twiston-Davies,28/1,No,3.75,03:59.2,6,11-0,24,Good,2m0f62y,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
